################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1         59   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.3842291407365361E-03  -7.9473683540682363E-03   4.3640840692954944E-02
         1         60   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.3891022839101461E-01  -5.2802642514940476E-03  -6.7916659807267563E-02
         1         61   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.0509300772329773E-01  -9.9001071918024847E-02   5.3546288199604726E-02
         1         62   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.6261812123005620E-02   7.7898310668183895E-02   6.2577058170674105E-02
         1         63   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.4838424506323309E-02  -4.1446807246144926E-02   9.6648745467678585E-02
         1         64   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.4179850418312016E-02  -5.7557476795975851E-02  -6.1742208833541486E-02
         1         65   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   4.4077041385220075E-02  -1.8300237329767842E-02  -7.5505636497992301E-02
         1         66   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -9.7971478638883225E-02  -6.3739976975962398E-02  -6.8996011381301278E-02
         1         67   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.5493522140549948E-02   1.0958898889360481E-01   2.6651586827990455E-02
         1         68   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.6372652689849592E-02   2.0733155771924621E-02   3.3920539454651490E-02
         1         69   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -8.2317531355991569E-02   8.4220523164516806E-04   5.5991406426489622E-02
         1         70   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -6.9851041378997808E-02   2.4280717778437107E-02   4.8284650940584165E-02
         1         71   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   9.5189840446163562E-02   4.3485155741746592E-02   2.9125317041433566E-02
         1         72   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.7860200744445148E-02  -4.3425698927734145E-02  -2.9764170913086932E-02
         1         73   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   8.2317531355900558E-02  -8.4220523168150130E-04  -5.5991406426485230E-02
         1         74   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   6.9851041378965403E-02  -2.4280717778424978E-02  -4.8284650940571938E-02
         1         75   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -9.5189840446152793E-02  -4.3485155741738057E-02  -2.9125317041454914E-02
         1         76   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.7860200744468685E-02   4.3425698927717013E-02   2.9764170913117227E-02
         1         77   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.4179850418406017E-02   5.7557476795938443E-02   6.1742208833493725E-02
         1         78   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -4.4077041385203061E-02   1.8300237329729661E-02   7.5505636498022041E-02
         1         79   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   9.7971478638889373E-02   6.3739976975953683E-02   6.8996011381309966E-02
         1         80   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.5493522140551554E-02  -1.0958898889361400E-01  -2.6651586828009551E-02
         1         81   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.6372652689886771E-02  -2.0733155771889031E-02  -3.3920539454639999E-02
         1         82   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -5.3842291407022042E-03   7.9473683540736504E-03  -4.3640840692973568E-02
         1         83   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.3891022839096007E-01   5.2802642514564882E-03   6.7916659807294624E-02
